"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\personal-room\page.js", "JavaScript", 1294, 0, 0, 0, 0, 0, 0, 0, 0, 785, 779, 2858
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\recordings\page.js", "JavaScript", 1388, 0, 0, 0, 0, 0, 0, 0, 0, 842, 836, 3066
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\layout.js", "JavaScript", 1375, 0, 0, 0, 0, 0, 0, 0, 0, 839, 812, 3026
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\layout.js", "JavaScript", 592, 0, 0, 0, 0, 0, 0, 0, 0, 356, 357, 1305
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\main-app.js", "JavaScript", 905, 0, 0, 0, 0, 0, 0, 0, 0, 551, 544, 2000
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\polyfills.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\webpack.js", "JavaScript", 1296, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 1420
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\css\app\layout.css", "CSS", 0, 0, 0, 0, 0, 0, 4892, 0, 0, 165, 371, 5428
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\development\_buildManifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\development\_ssgManifest.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\01edabd00b34fe55.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
