"filename", "language", "JSON with Comments", "Properties", "JavaScript", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\components\CallList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 14, 111
"c:\Users\User\dev\Meeting-App\HaMeetz\components\EndCallButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 11, 41
"c:\Users\User\dev\Meeting-App\HaMeetz\components\HomeCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 7, 37
"c:\Users\User\dev\Meeting-App\HaMeetz\components\Loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 24, 7, 92
"c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 4, 72
"c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingRoom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 2, 10, 104
"c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingSetup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 2, 12, 92
"c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingTypeList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 166, 0, 0, 1, 13, 180
"c:\Users\User\dev\Meeting-App\HaMeetz\components\MobileNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"c:\Users\User\dev\Meeting-App\HaMeetz\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\User\dev\Meeting-App\HaMeetz\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 19, 201
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 16, 144
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 14, 130
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 160, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\User\dev\Meeting-App\HaMeetz\constants\index.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\User\dev\Meeting-App\HaMeetz\hooks\useGetCallById.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 9, 32
"c:\Users\User\dev\Meeting-App\HaMeetz\hooks\useGetCalls.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 10, 52
"c:\Users\User\dev\Meeting-App\HaMeetz\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\dev\Meeting-App\HaMeetz\middleware.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\User\dev\Meeting-App\HaMeetz\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\User\dev\Meeting-App\HaMeetz\next.config.mjs", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\User\dev\Meeting-App\HaMeetz\package-lock.json", "JSON", 0, 0, 0, 0, 6687, 0, 0, 0, 0, 0, 1, 6688
"c:\Users\User\dev\Meeting-App\HaMeetz\package.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\User\dev\Meeting-App\HaMeetz\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\dev\Meeting-App\HaMeetz\providers\StreamClientProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 11, 39
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\HaMeetz-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\Home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\Video.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\add-meeting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\add-personal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\call-ended.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\checked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\hamburger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\join-meeting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\loading-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\previous.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\recordings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\schedule.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\three-dots.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\upcoming.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\User\dev\Meeting-App\HaMeetz\tailwind.config.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 3, 69
"c:\Users\User\dev\Meeting-App\HaMeetz\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 34, 6, 22138, 775, 6924, 3, 1847, 69, 4976, 13155, 12873, 62800
